2025-04-22 11:07:33 - {'time': '10991', 'temperature': '27.650341', 'humidity': '52.135368', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:33 - {'time': '17021', 'temperature': '27.579592', 'humidity': '52.129356', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:33 - {'time': '23052', 'temperature': '27.579592', 'humidity': '52.123352', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:33 - {'time': '29083', 'temperature': '27.579592', 'humidity': '52.123352', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:33 - {'time': '35114', 'temperature': '27.544218', 'humidity': '52.258575', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:33 - {'time': '41145', 'temperature': '27.561905', 'humidity': '52.273598', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:33 - {'time': '47176', 'temperature': '27.561905', 'humidity': '52.273598', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:34 - {'time': '53207', 'temperature': '27.597279', 'humidity': '52.264587', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:34 - {'time': '59238', 'temperature': '27.597279', 'humidity': '52.264587', 'acceleration': '[0,0,0]'}
2025-04-22 11:07:34 - {'time': '65269', 'temperature': '27.632652', 'humidity': '52.273598', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '149703', 'temperature': '27.685715', 'humidity': '52.213501', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '155734', 'temperature': '27.685715', 'humidity': '52.330696', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '161765', 'temperature': '27.668028', 'humidity': '52.495972', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '167796', 'temperature': '27.668028', 'humidity': '52.495972', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '173827', 'temperature': '27.614965', 'humidity': '52.417839', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '179858', 'temperature': '27.614965', 'humidity': '52.417839', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '185889', 'temperature': '27.597279', 'humidity': '52.447887', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '191920', 'temperature': '27.597279', 'humidity': '52.324684', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '197951', 'temperature': '27.597279', 'humidity': '52.324684', 'acceleration': '[0,0,0]'}
2025-04-22 11:08:36 - {'time': '203982', 'temperature': '27.579592', 'humidity': '52.357738', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '210013', 'temperature': '27.579592', 'humidity': '52.357738', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '216044', 'temperature': '27.579592', 'humidity': '52.408825', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '222075', 'temperature': '27.579592', 'humidity': '52.417839', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '228106', 'temperature': '27.579592', 'humidity': '52.417839', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '234137', 'temperature': '27.579592', 'humidity': '52.414833', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '240168', 'temperature': '27.579592', 'humidity': '52.414833', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '246199', 'temperature': '27.544218', 'humidity': '52.378777', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '252230', 'temperature': '27.597279', 'humidity': '52.414833', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '258261', 'temperature': '27.597279', 'humidity': '52.414833', 'acceleration': '[0,0,0]'}
2025-04-22 11:09:58 - {'time': '264292', 'temperature': '27.544218', 'humidity': '52.393799', 'acceleration': '[0,0,0]'}
2025-04-22 11:10:40 - {'time': '294447', 'temperature': '27.561905', 'humidity': '52.745384', 'acceleration': '[0,0,0]'}
2025-04-22 11:10:40 - {'time': '300478', 'temperature': '27.561905', 'humidity': '52.745384', 'acceleration': '[0,0,0]'}
2025-04-22 11:10:40 - {'time': '306509', 'temperature': '27.561905', 'humidity': '52.607155', 'acceleration': '[0,0,0]'}
2025-04-22 11:10:40 - {'time': '312540', 'temperature': '27.508842', 'humidity': '52.559074', 'acceleration': '[0,0,0]'}
2025-04-22 11:10:40 - {'time': '318571', 'temperature': '27.508842', 'humidity': '52.559074', 'acceleration': '[0,0,0]'}
